seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777664081,500,0.5,0.7,0.016220076090137547,0.016220076090137547,0.08955223880597014,0.08955223880597014,0.9167761194029851,0.9167761194029851,0.0410958904109589,0.0410958904109589,0.926076981738067,0.926076981738067,0.29110743396457683,581.6326530612245,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 12749, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26999, 28249, 28749, 29499]"
1777664094,500,0.5,0.7,0.01750794126460893,0.01750794126460893,0.08450704225352113,0.08450704225352113,0.9073802816901408,0.9073802816901408,0.03896103896103897,0.03896103896103897,0.9166627232689522,0.9166627232689522,0.31420309198086976,627.7777777777778,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10499, 11499, 12249, 13249, 13749, 14249, 14749, 15499, 16249, 16749, 17249, 17749, 18249, 18749, 19249, 19749, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 25249, 25999, 26749, 28249, 28749, 29249]"
1777664108,500,0.5,0.7,0.01659529411764706,0.01659529411764706,0.08823529411764706,0.08823529411764706,0.918,0.918,0.04054054054054055,0.04054054054054055,0.9269103150714003,0.9269103150714003,0.2945653987320654,588.5416666666666,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 12999, 13499, 13999, 14499, 14999, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23499, 23999, 24499, 25499, 25999, 26749, 28249, 28749, 29249]"
1777664121,500,0.5,0.7,0.016220076090137547,0.016220076090137547,0.08955223880597014,0.08955223880597014,0.9167761194029851,0.9167761194029851,0.0410958904109589,0.0410958904109589,0.926076981738067,0.926076981738067,0.29110743396457683,581.6326530612245,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 12749, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26749, 28249, 28749, 29499]"
1777664134,500,0.5,0.7,0.016220076090137547,0.016220076090137547,0.08955223880597014,0.08955223880597014,0.9167761194029851,0.9167761194029851,0.0410958904109589,0.0410958904109589,0.926076981738067,0.926076981738067,0.2885538599824314,576.530612244898,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 12999, 13499, 13999, 14499, 14999, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26999, 28249, 28749, 29249]"
1777664147,500,0.5,0.7,0.016984324164448387,0.016984324164448387,0.08695652173913043,0.08695652173913043,0.9191884057971015,0.9191884057971015,0.04,0.04,0.9283445554342121,0.9283445554342121,0.3008327476412583,601.063829787234,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11499, 12249, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24749, 25499, 25999, 26999, 28249, 28749, 29249]"
1777664160,500,0.5,0.7,0.01659529411764706,0.01659529411764706,0.08823529411764706,0.08823529411764706,0.918,0.918,0.04054054054054055,0.04054054054054055,0.9272590148349937,0.9272590148349937,0.2945653987320654,588.5416666666666,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 25249, 25749, 26249, 26999, 28249, 28749, 29249]"
1777664174,500,0.5,0.7,0.01659529411764706,0.01659529411764706,0.08823529411764706,0.08823529411764706,0.918,0.918,0.04054054054054055,0.04054054054054055,0.9272590148349937,0.9272590148349937,0.2945653987320654,588.5416666666666,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11499, 12249, 12749, 13249, 13749, 14249, 14749, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26749, 28249, 28749, 29249]"
1777664187,500,0.5,0.7,0.016220076090137547,0.016220076090137547,0.08955223880597014,0.08955223880597014,0.9167761194029851,0.9167761194029851,0.0410958904109589,0.0410958904109589,0.926076981738067,0.926076981738067,0.2885538599824314,576.530612244898,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 12999, 13499, 13999, 14499, 14999, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24749, 25499, 25999, 26749, 28249, 28749, 29249]"
1777664200,500,0.5,0.7,0.01631294117647059,0.01631294117647059,0.08823529411764706,0.08823529411764706,0.9038823529411765,0.9038823529411765,0.04054054054054055,0.04054054054054055,0.9015023101477685,0.9015023101477685,0.2945653987320654,588.5416666666666,999.0,0.5,"[999, 1499, 1999, 2499, 2999, 3999, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749, 10249, 10749, 11249, 11749, 12249, 12999, 13499, 13999, 14499, 14999, 15499, 15999, 16499, 16999, 17499, 17999, 18499, 18999, 19499, 20999, 21499, 21999, 22749, 23249, 23749, 24249, 24999, 25749, 26249, 26749, 28249, 28749, 29249]"
